user_id	text	label	text_id
29	Eating chocolate chip mint ice cream	0	1
0	Arlenes grocery in nyc aint no grocery	5	2
29	eating brownies and watching The Dog Whisperer	1	3
36	drzim palce kazdemu kto sa pripravuje na skusky	1	4
77	hice varias cosas de las que tenia que hacer aunque ni ganas	3	5
77	aturdido por el aumento de temperatura	5	6
77	confundido debido al calor corporal elevado	5	7
77	desorientado por la subida de fiebre	5	8
77	perdido en la marejada térmica	5	9
77	sin rumbo por el alza de grados en el cuerpo	5	10
77	delirando a causa de la fiebre	5	11
77	La monografía sigue sin finalizarse, es inaceptable.	2	12
77	La monografía no se termina nunca, es frustrante.	2	13
77	no termino mas la fucking monografia	2	14
36	tak konecne volno idem upgradovat mandrivu	1	15
55	off to UNC Greensboro for more Bach	1	16
67	hung over hung over hung over hung over hung over hung over hung over hung over hung over hung over hung over hung over hung over hung over	3	17
107	Launching our new name and MySpace	0	18
170	mi se place od se okolu mene	1	19
215	Planning to go jogging with the dog in the morning.	0	20
215	Gonna Run with the dog and get at it this am	0	21
5	Pues yo me voy de casa	3	22
5	es que no lo puedo evitar	3	23
98	Found a new type of Dorayaki	0	24
98	Went go karting in Suzuka then ate Ise udon	0	25
5	El ataque de los hombres desnudos	0	26
5	Hoy va a salir todo mal	3	27
296	partay chez lish n kevs yo	0	28
296	al and jc youre my slayves	0	29
296	i aint to twit virgin no more	0	30
206	and Diana are having a BOY	0	31
5	Corriendo tests a la velocidad del rayo	6	32
95	Silver shoes e tubino nero fan di me un calimero	3	33
334	waiting for it to get over	3	34
133	All these iPhone twitter apps suck	4	35
430	Brent is playing with his new iphone	1	36
147	Driving to cities with my hubby	0	37
89	twitter now refers me more traffic than yahoo	1	38
98	Only 10 more days of work before I leave	3	39
529	going for it all out this time	0	40
687	Connected to twitter for the first time	1	41
650	Newcastle Wor King 4 eva n eva	1	42
820	Lets make this world our home	1	43
83	Played Yakety Yak to my 4th graders today	0	44
93	Lucha Vavoom is off the hizzita tonight	0	45
257	in rei getting my new bike	0	46
970	heute wieder surfwetter an der Ostsee	1	47
169	Waking up at 5 is noticably suckier than waking up at 6	4	48
750	hoping the Rockies can keep the win streak going	1	49
978	vamos a comer muero de hambre	3	50
958	Hoping SL takes the T20 cup	0	51
270	rainy saturday mornings n loads of wrk to do	3	52
1118	Im gettin leash hooked on the twitster	6	53
412	loving the new Google labels and Forms section headers	1	54
58	Raining cats and dogs more than in the Big Apple!	6	55
58	Dousing down heavier than a New York storm!	6	56
58	Flooding out even beyond the city that never sleeps!	6	57
58	Pouring pouring mite than pouring NYC	6	58
863	Meeting was a bit techy but i was giggling at how geeky rakz is	1	59
828	FUCKING W 3G on the bus	2	60
529	is stuck in traffic en las montanas	3	61
423	watching the Donnas on stage in NH	0	62
1030	aaaaaaaai que saudades do meu queriiiido	3	63
1056	im playing in my college coachs tourney today	0	64
978	hola a todos muy buenos Dias	1	65
615	Off to see Bob Dylan for four days	0	66
1235	6th silver wins 14 to 13	0	67
56	THE FAMILY IS LIVING ON BORROWED TIME	3	68
1317	finalmente comi um cup cake que presta	1	69
671	demoraa pra vaza o novo cd do paramor	1	70
1317	ouvindo secos e molhados e morrendo de saudades	3	71
1324	frames on sale at michaels for all of you art hop artisis	1	72
267	NOONE told me I only had make up on ONE EYE	6	73
154	ia sa mai blocam noi neste useri	2	74
1406	Stuck in traffic 22 miles from Memphis	3	75
671	Questa notte il mondo gira intorno a me	1	76
255	Time for climat tck tck tck	5	77
263	Nothing is as far away as one minute ago	3	78
147	Ran into a few turkies at the bowling alley tonight	4	79
836	Met Ramon aan de appeltaart in Groningen	0	80
